file,artist,title,format,bitrate_kbps,sample_rate_hz,channels,length_sec,bpm,key,missing_bpm,missing_key,error
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/01 - Kickin' Incredibly Dope Shit (Intro).mp3,Mac Miller,Kickin' Incredibly Dope Shit (Intro),MP3,256,48000,2,224.952,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/09 - Paper Route feat. Chevy Woods.mp3,Mac Miller,Paper Route feat. Chevy Woods,MP3,256,48000,2,180.072,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/11 - Ride Around.mp3,Mac Miller,Ride Around,MP3,256,48000,2,144.504,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/15 - All I Want Is You.mp3,Mac Miller,All I Want Is You,MP3,256,48000,2,222.576,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/04 - Nikes On My Feet.mp3,Mac Miller,Nikes On My Feet,MP3,256,48000,2,164.496,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/06 - The Spins.mp3,Mac Miller,The Spins,MP3,256,48000,2,196.056,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/17 - Face In The Crowd.mp3,Mac Miller,Face In The Crowd,MP3,256,48000,2,209.52,,,True,True,
"MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/13 - Mad Flava, Heavy Flow (Interlude) feat. DJ Bonics.mp3",Mac Miller,"Mad Flava, Heavy Flow (Interlude) feat. DJ Bonics",MP3,256,48000,2,26.784,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/02 - Outside.mp3,Mac Miller,Outside,MP3,256,48000,2,217.248,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/07 - Traffic In The Sky.mp3,Mac Miller,Traffic In The Sky,MP3,256,48000,2,153.12,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/12 - Knock Knock.mp3,Mac Miller,Knock Knock,MP3,256,48000,2,198.048,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/05 - Senior Skip Day.mp3,Mac Miller,Senior Skip Day,MP3,256,48000,2,175.896,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/08 - Don't Mind If I Do.mp3,Mac Miller,Don't Mind If I Do,MP3,256,48000,2,138.384,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/03 - Get Em Up.mp3,Mac Miller,Get Em Up,MP3,256,48000,2,198.096,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/16 - Poppy.mp3,Mac Miller,Poppy,MP3,256,48000,2,173.016,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/10 - Good Evening.mp3,Mac Miller,Good Evening,MP3,256,48000,2,235.128,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/08 Say Goodnight Freestyle (feat..mp3,The Ill Spoken,Say Goodnight Freestyle (feat.,MP3,320,44100,2,174.4263,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/06 Open Ya Eyes (feat. Plain Engl.mp3,The Ill Spoken,Open Ya Eyes (feat. Plain Engl,MP3,320,44100,2,243.6957,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/09 Whatup Dilla.mp3,The Ill Spoken,Whatup Dilla,MP3,320,44100,2,143.5239,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/02 How Sick Am I (prod. Ben Bradl.mp3,The Ill Spoken,How Sick Am I (prod. Ben Bradl,MP3,320,44100,2,256.5891,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/17 The Ill Children (feat. Lip Th.mp3,The Ill Spoken,The Ill Children (feat. Lip Th,MP3,320,44100,2,197.2899,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/10 What It Is (feat. Franchise) (.mp3,The Ill Spoken,What It Is (feat. Franchise) (,MP3,320,44100,2,255.0231,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/20 The Outro (prod. J. Glaze).mp3,The Ill Spoken,The Outro (prod. J. Glaze),MP3,320,44100,2,258.0768,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/15 Like Aaay! (prod. Anwar).mp3,The Ill Spoken,Like Aaay! (prod. Anwar),MP3,320,44100,2,236.4921,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/13 Same Old Shit (feat. Plain Eng.mp3,The Ill Spoken,Same Old Shit (feat. Plain Eng,MP3,320,44100,2,241.6077,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/03 Do It Again (prod. DJ Osk).mp3,The Ill Spoken,Do It Again (prod. DJ Osk),MP3,320,44100,2,179.3331,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/12 Child's Play Freestyle (feat..mp3,The Ill Spoken,Child's Play Freestyle (feat.,MP3,320,44100,2,229.0536,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/11 The Hold Up.mp3,The Ill Spoken,The Hold Up,MP3,320,44100,2,210.3138,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/14 The Real (prod. Buscrates 16 B.mp3,The Ill Spoken,The Real (prod. Buscrates 16 B,MP3,320,44100,2,227.9052,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/07 Tryna Get Blazed.mp3,The Ill Spoken,Tryna Get Blazed,MP3,320,44100,2,198.1512,,,True,True,
